,team_name,year,wins,losses,win_percent,goal_for,goal_against
192,Toronto Maple Leafs,1990,23,46,0.287,241,318
193,Vancouver Canucks,1990,28,43,0.35,243,315
194,Washington Capitals,1990,37,36,0.463,258,258
195,Winnipeg Jets,1990,26,43,0.325,260,288
196,Boston Bruins,1991,36,32,0.45,270,275
197,Buffalo Sabres,1991,31,37,0.388,289,299
198,Calgary Flames,1991,31,37,0.388,296,305
199,Chicago Blackhawks,1991,36,29,0.45,257,236
200,Boston Bruins,1990,44,24,0.55,299,264
201,Buffalo Sabres,1990,31,30,0.388,292,278
202,Calgary Flames,1990,46,26,0.575,344,263
203,Chicago Blackhawks,1990,49,23,0.613,284,211
204,Detroit Red Wings,1990,34,38,0.425,273,298
205,Edmonton Oilers,1990,37,37,0.463,272,272
206,Hartford Whalers,1990,31,38,0.388,238,276
207,Los Angeles Kings,1990,46,24,0.575,340,254
208,Minnesota North Stars,1990,27,39,0.338,256,266
209,Montreal Canadiens,1990,39,30,0.487,273,249
210,New Jersey Devils,1990,32,33,0.4,272,264
211,New York Islanders,1990,25,45,0.312,223,290
212,New York Rangers,1990,36,31,0.45,297,265
213,Philadelphia Flyers,1990,33,37,0.412,252,267
214,Pittsburgh Penguins,1990,41,33,0.512,342,305
215,Quebec Nordiques,1990,16,50,0.2,236,354
216,St. Louis Blues,1990,47,22,0.588,310,250
217,Toronto Maple Leafs,1990,23,46,0.287,241,318
218,Vancouver Canucks,1990,28,43,0.35,243,315
219,Washington Capitals,1990,37,36,0.463,258,258
220,Winnipeg Jets,1990,26,43,0.325,260,288
221,Boston Bruins,1991,36,32,0.45,270,275
222,Buffalo Sabres,1991,31,37,0.388,289,299
223,Calgary Flames,1991,31,37,0.388,296,305
224,Chicago Blackhawks,1991,36,29,0.45,257,236
225,Boston Bruins,1990,44,24,0.55,299,264
226,Buffalo Sabres,1990,31,30,0.388,292,278
227,Calgary Flames,1990,46,26,0.575,344,263
228,Chicago Blackhawks,1990,49,23,0.613,284,211
229,Detroit Red Wings,1990,34,38,0.425,273,298
230,Edmonton Oilers,1990,37,37,0.463,272,272
231,Hartford Whalers,1990,31,38,0.388,238,276
232,Los Angeles Kings,1990,46,24,0.575,340,254
233,Minnesota North Stars,1990,27,39,0.338,256,266
234,Montreal Canadiens,1990,39,30,0.487,273,249
235,New Jersey Devils,1990,32,33,0.4,272,264
236,New York Islanders,1990,25,45,0.312,223,290
237,New York Rangers,1990,36,31,0.45,297,265
238,Philadelphia Flyers,1990,33,37,0.412,252,267
239,Pittsburgh Penguins,1990,41,33,0.512,342,305
240,Quebec Nordiques,1990,16,50,0.2,236,354
241,St. Louis Blues,1990,47,22,0.588,310,250
242,Toronto Maple Leafs,1990,23,46,0.287,241,318
243,Vancouver Canucks,1990,28,43,0.35,243,315
244,Washington Capitals,1990,37,36,0.463,258,258
245,Winnipeg Jets,1990,26,43,0.325,260,288
246,Boston Bruins,1991,36,32,0.45,270,275
247,Buffalo Sabres,1991,31,37,0.388,289,299
248,Calgary Flames,1991,31,37,0.388,296,305
249,Chicago Blackhawks,1991,36,29,0.45,257,236
250,Boston Bruins,1990,44,24,0.55,299,264
251,Buffalo Sabres,1990,31,30,0.388,292,278
252,Calgary Flames,1990,46,26,0.575,344,263
253,Chicago Blackhawks,1990,49,23,0.613,284,211
254,Detroit Red Wings,1990,34,38,0.425,273,298
255,Edmonton Oilers,1990,37,37,0.463,272,272
256,Hartford Whalers,1990,31,38,0.388,238,276
257,Los Angeles Kings,1990,46,24,0.575,340,254
258,Minnesota North Stars,1990,27,39,0.338,256,266
259,Montreal Canadiens,1990,39,30,0.487,273,249
260,New Jersey Devils,1990,32,33,0.4,272,264
261,New York Islanders,1990,25,45,0.312,223,290
262,New York Rangers,1990,36,31,0.45,297,265
263,Philadelphia Flyers,1990,33,37,0.412,252,267
264,Pittsburgh Penguins,1990,41,33,0.512,342,305
265,Quebec Nordiques,1990,16,50,0.2,236,354
266,St. Louis Blues,1990,47,22,0.588,310,250
267,Toronto Maple Leafs,1990,23,46,0.287,241,318
268,Vancouver Canucks,1990,28,43,0.35,243,315
269,Washington Capitals,1990,37,36,0.463,258,258
