,team_name,year,wins,losses,win_percent,goal_for,goal_against
270,Winnipeg Jets,1990,26,43,0.325,260,288
271,Boston Bruins,1991,36,32,0.45,270,275
272,Buffalo Sabres,1991,31,37,0.388,289,299
273,Calgary Flames,1991,31,37,0.388,296,305
274,Chicago Blackhawks,1991,36,29,0.45,257,236
275,Boston Bruins,1990,44,24,0.55,299,264
276,Buffalo Sabres,1990,31,30,0.388,292,278
277,Calgary Flames,1990,46,26,0.575,344,263
278,Chicago Blackhawks,1990,49,23,0.613,284,211
279,Detroit Red Wings,1990,34,38,0.425,273,298
280,Edmonton Oilers,1990,37,37,0.463,272,272
281,Hartford Whalers,1990,31,38,0.388,238,276
282,Los Angeles Kings,1990,46,24,0.575,340,254
283,Minnesota North Stars,1990,27,39,0.338,256,266
284,Montreal Canadiens,1990,39,30,0.487,273,249
285,New Jersey Devils,1990,32,33,0.4,272,264
286,New York Islanders,1990,25,45,0.312,223,290
287,New York Rangers,1990,36,31,0.45,297,265
288,Philadelphia Flyers,1990,33,37,0.412,252,267
289,Pittsburgh Penguins,1990,41,33,0.512,342,305
290,Quebec Nordiques,1990,16,50,0.2,236,354
291,St. Louis Blues,1990,47,22,0.588,310,250
292,Toronto Maple Leafs,1990,23,46,0.287,241,318
293,Vancouver Canucks,1990,28,43,0.35,243,315
294,Washington Capitals,1990,37,36,0.463,258,258
295,Winnipeg Jets,1990,26,43,0.325,260,288
296,Boston Bruins,1991,36,32,0.45,270,275
297,Buffalo Sabres,1991,31,37,0.388,289,299
298,Calgary Flames,1991,31,37,0.388,296,305
299,Chicago Blackhawks,1991,36,29,0.45,257,236
300,Boston Bruins,1990,44,24,0.55,299,264
301,Buffalo Sabres,1990,31,30,0.388,292,278
302,Calgary Flames,1990,46,26,0.575,344,263
303,Chicago Blackhawks,1990,49,23,0.613,284,211
304,Detroit Red Wings,1990,34,38,0.425,273,298
305,Edmonton Oilers,1990,37,37,0.463,272,272
